domain,url_count
python-feed.blogspot.com,2
qmviews.blogspot.com,1
quantombone.blogspot.com,2
r-datameister.blogspot.com,8
rajivsethi.blogspot.com,1
ralphandalice.blogspot.com,1
ramannanda.blogspot.com,3
randyreport.blogspot.com,1
rankratan.blogspot.com,3
readingwritingmanagement.blogspot.com,1
realizationsinbiostatistics.blogspot.com,3
reallyducksoup.blogspot.com,1
redhill-datascience.blogspot.com,1
remotedatascience.blogspot.com,1
research.googleblog.com,1
researchmethodsdataanalysis.blogspot.com,1
rformining.blogspot.com,9
rmjyvv.blogspot.com,2
rohanrao91.blogspot.com,2
runningahospital.blogspot.com,1
sagemath.blogspot.com,1
sandwalk.blogspot.com,4
sathish-panduga.blogspot.com,1
sc15blog.blogspot.com,1
scaryscientist.blogspot.com,12
scienceinforme.blogspot.com,2
sciencesoup.blogspot.com,1
sciencetogrok.blogspot.com,1
scientific-misconduct.blogspot.com,1
sepw.blogspot.com,2
service-architecture.blogspot.com,3
sexygeekgifts.blogspot.com,1
shearlingsplowed.blogspot.com,1
simplified-analytics.blogspot.com,1
sitsshow.blogspot.com,1
sl2college.blogspot.com,1
smacjunction.blogspot.com,1
smallbiztrends.com,11
soaringhorse.blogspot.com,3
socarchsci.blogspot.com,1
solaimurugan.blogspot.com,1
spastatepark.blogspot.com,1
spryinc.blogspot.com,1
sqlandsiva.blogspot.com,28
sqlservercode.blogspot.com,1
sqlserverdbadatascience.blogspot.com,2
starlarvae.blogspot.com,1
statisticalrecipes.blogspot.com,1
statistician-arau.blogspot.com,1
stconsultant.blogspot.com,1
stonesnbones.blogspot.com,1
strakul.blogspot.com,7
studydatascience.blogspot.com,1
sujitpal.blogspot.com,1
syntheticdaisies.blogspot.com,2
taggelblog.blogspot.com,1
talk-technology.blogspot.com,1
teachingdatascience.blogspot.com,2
tech-cimne.blogspot.com,1
techcells.blogspot.com,1
technospeaknow.blogspot.com,1
testingsaas.blogspot.com,2
texnological.blogspot.com,5
the-data-guy.blogspot.com,1
the-graphic-house.blogspot.com,1
theasidatascience.blogspot.com,1
thenumericalalgorithmsgroup.blogspot.com,1
therightcoast.blogspot.com,1
thewannabedatascientist.blogspot.com,3
thoughtshoppe.blogspot.com,2
timothyandrewbarber.blogspot.com,2
torrance-mayberry.blogspot.com,1
totalanalytic.blogspot.in,1
totsawat-13.blogspot.com,1
trailofpapers.blogspot.com,5
tullman.blogspot.com,1
tutorials4share.blogspot.com,1
tutoriels-data-mining.blogspot.com,7
tz33cu.blogspot.com,3
ugandanjobline.blogspot.com,1
ukuscouponsfreebies.blogspot.com,1
umdecon.blogspot.com,1
until-darwin.blogspot.com,2
vaithisuresh.blogspot.com,1
valueinvestingworld.blogspot.com,1
vasnake.blogspot.com,1
venturesindatascience.blogspot.com,1
vermapost.blogspot.com,1
vignettestraining.blogspot.com,1
viksalgorithms.blogspot.com,8
virologydownunder.blogspot.com,1
visualsciencelab.blogspot.com,1
voxday.blogspot.com,1
vprot.blogspot.com,1
weimenglee.blogspot.com,2
whiterhinoreport.blogspot.com,2
wjmc.blogspot.com,3
womeninastronomy.blogspot.com,3
worldwideprogramers.blogspot.com,1
www.briefingsdirecttranscriptsblogs.com,1
www.evocellnet.com,1
www.gettinggeneticsdone.com,3
www.periodicoelnuevomundo.com,20
www.sureshgorakala.blogspot.com,1
www.techlover.cf,1
www.vikparuchuri.com,1
www.visualistan.com,1
wwwdontmesswith6a.blogspot.com,3
yang-cs.blogspot.com,1
yangdatascience.blogspot.com,3
yes-morocco.blogspot.com,3
yet-another-data-blog.blogspot.com,6
youngjoonwon.blogspot.com,1
yyue.blogspot.com,6
zforensic.blogspot.com,14
zforensic.blogspot.nl,1
zosandra.blogspot.com,1
