link_name,url_link
Nuit Blanche: Sunday Morning Insight: How Data Science Is.,http://nuit-blanche.blogspot.com/2015/06/sunday-morning-insight-how-data-science.html
"Mathematician in Data Science: Visualizing Bagged Trees, Part 2",http://myabakhova.blogspot.com/2016/05/visualizing-bagged-trees-part-2.html
U. of Maryland Honors College: Data Science for Social Good ...,http://honcol.blogspot.com/2016/01/data-science-for-social-good-summer.html
Big Computing: Boston Data Science Conference in May,http://bigcomputing.blogspot.com/2015/03/boston-data-science-conference-in-may.html
The Eponymous Pickle: Data Science Summit Videos,http://eponymouspickle.blogspot.com/2012/05/data-science-summit-videos.html
CODATA International Training Workshop in Big Data for Science ...,http://yes-morocco.blogspot.com/2016/04/codata-international-training-workshop.html
Data Science Summit - Registration is Open! - Large Scale Machine ...,http://bickson.blogspot.com/2015/03/data-science-summit-registration-is-open.html
The Eponymous Pickle: Principal Components of Data Science,http://eponymouspickle.blogspot.com/2016/03/principle-components-of-data-science.html
The Eponymous Pickle: Quotes from a Data Science Pioneer,http://eponymouspickle.blogspot.com/2015/10/quotes-from-data-science-pioneer.html
The Wannabe Data Scientist,http://thewannabedatascientist.blogspot.com/
Tanagra - Data Mining and Data Science Tutorials: Discretization of ...,http://data-mining-tutorials.blogspot.com/2014/11/discretization-of-continuous-attributes.html
"Welcome all!: Data Science, Business Analytics - Lim Jeck",http://wwwdontmesswith6a.blogspot.com/2013/04/data-science-business-analytics.html
The Aspirational Data Scientist: Online Course Reviews: The Data ...,http://newdatascientist.blogspot.com/2014/05/online-course-reviews-data-scientists.html
Humanities and Social Sciences Research and Engagement: Data ...,http://chassresearch.blogspot.com/2016/01/data-science-initiative-winter-symposium.html
The Eponymous Pickle: Microsoft Believes Data Science will become ...,http://eponymouspickle.blogspot.com/2015/11/microsoft-believes-data-science-will.html
The Eponymous Pickle: Ontology for Data Science,http://eponymouspickle.blogspot.com/2015/05/ontology-for-data-science.html
Learning Data Science : ggmap : Interesting toolbox for spatial analysis,http://rformining.blogspot.com/2013/07/ggmap-interesting-toolbox-for-spatial.html
Adventures in Computation: Algorithmic Game Theory and Data Science,http://aaronsadventures.blogspot.com/2015/04/algorithmic-game-theory-and-data-science.html
Data science for kids!: Creating a dataset,http://datasciencekids.blogspot.com/2015/06/creating-data-set.html
The Eponymous Pickle: Data Science Practitioner Course for the ...,http://eponymouspickle.blogspot.com/2015/11/data-science-practitioner-course-for.html
The Aspirational Data Scientist: Why Data Science Needs Statistics,http://newdatascientist.blogspot.com/2014/05/why-data-science-needs-statistics.html
Dada Science and Data Science,http://dadadatascience.blogspot.com/
Data Science,http://datasciencegroup.blogspot.com/
Fear and Loathing in Data Science: Simpson's Paradox,http://r-datameister.blogspot.com/2016/01/simpsons-paradox.html
"Data Science Curriculum on edX - Sue Gee, iProgrammer",http://continuingedupdate.blogspot.com/2016/06/data-science-curriculum-on-edx-sue-gee.html
2 New Professors @TU_Muenchen HfP | Political Data Science,http://politicaldatascience.blogspot.com/2016/02/2-new-professors-tumuenchen-hfp.html
Yet Another Data Blog: 9 Major Tasks in Data Science,http://yet-another-data-blog.blogspot.com/2013/09/9-major-tasks-in-data-science.html
Python for Data Science For Dummies - eBooksWorld,http://dkebooks.blogspot.com/2015/12/python-for-data-science-for-dummies.html
A True History of the Internet: Every Day Data Science Challenges,http://paravirtualization.blogspot.com/2016/05/every-day-data-science-challenges.html
Strakul's Thoughts: Data Science: Essentials of Data Science Bootcamp,http://strakul.blogspot.com/2016/04/data-science-essentials-of-data-science.html
Hogg's Research: Moore-Sloan Data Science Environment at NYU,http://hoggresearch.blogspot.com/2014/04/moore-sloan-data-science-environment-at.html
eKonometrics: Getting Started with Data Science: Storytelling with Data,http://ekonometrics.blogspot.com/2016/01/getting-started-with-data-science.html
Information School News: The Data Science Forum Meeting - 4 May 2016,http://information-studies.blogspot.com/2016/04/the-data-science-forum-meeting-4-may.html
Marketing Scientist Career Resource | Big Data and Consumer Insight,http://bigdataco.blogspot.com/p/phd-in-quantitative-marketing.html
The Eponymous Pickle: Data Science from Scratch,http://eponymouspickle.blogspot.com/2015/12/data-science-from-scratch.html
Today: Colloquium Perspectives and New Challenges in Data ...,http://nuit-blanche.blogspot.com/2016/02/today-colloquium-perspectives-and-new.html
JOPX on Collaboration and CRM: Data science for the rest of us,http://jopx.blogspot.com/2016/01/data-science-for-rest-of-us.html
"Getting Genetics Done: Monday Links: 23andMe, RStudio, PacBio+ ...",http://www.gettinggeneticsdone.com/2011/04/monday-links-23andme-rstudio.html
Data Science - Hyderabad: Data scientist VS Data Analyst,http://datasciencetraininghyderabad.blogspot.com/2015/01/data-scientist-vs-data-analyst.html
The Eponymous Pickle: Top Papers in Data Science Survey,http://eponymouspickle.blogspot.com/2015/01/top-papers-in.html
Data Mining and Predictive Analytics: Why Defining the Target ...,http://abbottanalytics.blogspot.com/2012/04/why-defining-target-variable-in.html
Prosper: An EVE Online Tool Development Blog: How I Data Science ...,https://eve-prosper.blogspot.com/2016/02/how-i-data-science-hunting-for-trends.html
Udemy - Data Science and Machine Learning with Python - Hands On ...,https://edusavecoupon.blogspot.com/2016/02/udemy-data-science-and-machine-learning_47.html
Fraka6 Blog - No Free Lunch: How to deploy a python datascience ...,http://fraka6.blogspot.com/2015/04/how-to-deploy-python-datascience-python.html
From the Eyes of an Entrepreneur: Data Science and The Interent of ...,http://coolastory.blogspot.com/2015/11/data-science-and-interent-of-things.html
Strakul's Thoughts: Data Science: Creating my First Web Application,http://strakul.blogspot.com/2016/03/data-science-creating-my-first-web.html
"Business Intelligence/Techniques, Data Analytics and Statistical ...",http://bnreddybi.blogspot.com/
"Data Science with R and Python: Retail Credit Scoring - the ""Support ...",http://datasciencewithrandpython.blogspot.com/2016/01/technical-stuff-begins-logistic.html
Viz Panda: Data Science & Business Intelligence,http://evafengeva.blogspot.com/2015/05/data-science-business-intelligence.html
my slice of pizza: Data Science and Online Ads: Panel in NYCE 2014,http://mysliceofpizza.blogspot.com/2014/12/data-science-and-online-ads-panel-in.html
"Hardcore Data Science, NYC 2015 | The Practical Quant",http://practicalquant.blogspot.com/2015/09/hardcore-data-science-nyc-2015.html
Data Science Summit Europe - A great success!! - Large Scale ...,http://bickson.blogspot.com/2016/06/data-science-summit-europe-great-success.html
"Special issue published: ""Intelligent Systems and Applications of Data ...",http://inderscience.blogspot.com/2016/01/special-issue-published-intelligent.html
Econometric Sense: Data Science,http://econometricsense.blogspot.com/2011/01/data-science.html
Big Computing: Open Data Science Conference in Boston,http://bigcomputing.blogspot.com/2015/06/open-data-science-conference-in-boston.html
Igor Subbotin: Data science digest #39 (23 February - 1 March 2015),http://igorsubbotin.blogspot.com/2015/03/data-science-digest-39-eng.html
Nuit Blanche: Saturday Morning Videos: Data Science and Massive ...,http://nuit-blanche.blogspot.com/2014/06/saturday-morning-videos-data-science.html
Igor Subbotin: 10 лучших презентаций с SlideShare по Data Science ...,http://igorsubbotin.blogspot.com/2014/09/top-10-presentations-about-data-science-big-data-on-slideshare.html
Igor Subbotin: Data science digest #41 (9 - 15 March 2015),http://igorsubbotin.blogspot.com/2015/03/data-science-digest-41-eng.html
Research Blog: Making Sense of Data with Google,https://googleresearch.blogspot.com/2014/02/making-sense-of-data-with-google.html
Jessica M. Moss: Is Data Science a Buzzword? aka: My first Coursera ...,http://jessicammoss.blogspot.com/2015/12/is-data-science-buzzword-aka-my-first.html
Learning Data Science,http://rformining.blogspot.com/
Data Science & Big Data Analytics,http://adamrabinovitch.blogspot.com/
"Introduction - Vik's Blog - Writings on machine learning, data science ...",http://viksalgorithms.blogspot.com/2012/01/introduction-to-kaggle-algorithmic.html
DAT203x Data Science and Machine Learning Essentials,http://mlessenstials.blogspot.com/
Business Intelligence Planet: R vs Python for Data Science: The ...,http://biplanet.blogspot.com/2016/05/r-vs-python-for-data-science-winner-is.html
Integrating the DataScience Toolkit and R into a VM for use with ...,http://soaringhorse.blogspot.com/2014/01/integrating-datascience-toolkit-and-r.html
"Data Scientist, Analytics ProfessionalData Scientist, Analytics ...",http://datascientistanalytics.blogspot.com/2015/02/sbi-ramps-up-data-science-division.html
Random Ponderings: Thoughts on KDD 2015,http://yyue.blogspot.com/2015/09/thoughts-on-kdd-2015.html
Realizations in Biostatistics: Talk to Upstate Data Science Group on ...,http://realizationsinbiostatistics.blogspot.com/2016/01/talk-to-upstate-data-science-group-on.html
Everything About Data Science: Confusion Matrix,http://scaryscientist.blogspot.com/2016/03/confusion-matrix.html
7Star: XLRI brings Specialised Data Science Program using excel and R,http://rankratan.blogspot.com/2015/12/xlri-brings-specialised-data-science.html
Data Science: WEEK_1: Introduction to Data Science,http://datasciencemaster.blogspot.com/2016/02/week1-hi-there-i-am-sharath-g-s.html
Handling #bigdata in R (2): Cuda and rpud | Political Data Science,http://politicaldatascience.blogspot.com/2015/01/handling-bigdata-in-r-2-cuda-and-rpud.html
Building a business that combines human experts and data science ...,http://practicalquant.blogspot.com/2016/01/building-a-business-that-combines-human-experts-and-data-science.html
Data Mining and Predictive Analytics: Data Science and Big Data ...,http://abbottanalytics.blogspot.com/2014/01/data-science-and-big-data-search-trends.html
Tenured Associate Professorship (Data Science) at the University of ...,http://beamtenherrschaft.blogspot.com/2016/04/tenured-associate-professorship-data.html
Fuck You Data Science. Srsly.,http://fudatascience.blogspot.com/
Introductory Statistics for Data Science - Econometrics Beat: Dave ...,http://davegiles.blogspot.com/2015/04/introductory-statistics-for-data-science.html
Data @ Libs: Announcing the 2016 eScience Data Science for Social ...,http://data.blogspot.com/2016/02/announcing-2016-escience-data-science.html
Data Science Summit - registration is open - Large Scale Machine ...,http://bickson.blogspot.com/2016/01/data-science-summit-registration-is-open.html
Lili's Sharings : The First Python Project in Data Science: Stock Price ...,http://lovelearning9.blogspot.com/2015/12/the-first-python-project-in-data.html
Information School News: The First Data Science Forum Meeting,http://information-studies.blogspot.com/2016/05/the-first-data-science-forum-meeting.html
The Aspirational Data Scientist: Online Course Reviews: Coursera's ...,http://newdatascientist.blogspot.com/2013/10/online-course-reviews-courseras-machine.html
Open Data Science Conference #ODSC: Cool Data Science GitHub ...,http://opendatascienceconference.blogspot.com/2016/03/cool-data-science-github-repos.html
Information Processing: The rise of data science,http://infoproc.blogspot.com/2011/08/rise-of-data-science.html
Inderscience news: First issue: International Journal of Data Science ...,http://inderscience.blogspot.com/2015/04/first-issue-international-journal-of_27.html
DataScience Deep Dive,http://dsdeepdive.blogspot.com/
The Eponymous Pickle: PurePredictive Automating Data Science,http://eponymouspickle.blogspot.com/2016/03/purepredictive-automating-data-science.html
the Garden of Forking Paths: Data Science and Its Uses,http://gardenforkingpaths.blogspot.com/2013/05/data-science-and-its-uses.html
The Eponymous Pickle: Data Science at the Command Line,http://eponymouspickle.blogspot.com/2015/02/data-science-at-command-line.html
Data science for Tauber | Ecommerce thoughts from Ann Arbor,http://ecommerceaa.blogspot.com/2016/04/data-science-for-tauber.html
Data Scientist's Diary: Morning@Lohika: Introduction to Data Science,http://datascientistdiary.blogspot.com/2016/01/morninglohika-introduction-to-data.html
Data Mining and Predictive Analytics,http://abbottanalytics.blogspot.com/
"TechMusings (BigData,Hadoop,Pig,Hive,DataScience,IoT,EAI,SOA ...",http://bigdatatechmusings.blogspot.com/2016/04/statistics-learning-for-data-science-2_27.html
Few links to Data Science and Machine learning posts. ~ Technical ...,http://ramannanda.blogspot.com/2016/03/few-links-to-data-science-and-machine.html
Process Mining: Data science in Action - Igor Subbotin,http://igorsubbotin.blogspot.com/2014/09/process-mining-data-science-mooc.html
Process Mining: Data science in Action - Igor Subbotin,http://igorsubbotin.blogspot.com/2014/11/process-mining-data-science-in-action.html
PyInformatics: Bioinformatics and Data Science in Python,http://pyinformatics.blogspot.com/
21st Century Scientist: Translational Medicine with Data Science,http://21stcenturyscientist.blogspot.com/2016/01/translational-medicine-with-data-science.html
Nuit Blanche: Sunday Morning Insight: How Data Science Is.,http://nuit-blanche.blogspot.com/2015/06/sunday-morning-insight-how-data-science.html
